title,description,personas,category,text_cleaned_lemmatized,image_url,text_cleaned,website
Sweet Home Gelato,"Got a sweet tooth?  serves up hand-crafted gelato along the Chicago Riverwalk in the warmer months. Choose from a rotating array of freshly made gelatos and sorbets, like amaretto, chai tea, Nutella, panna cotta, and more. They also serve baked treats, shakes and floats, and coffee.",couple,riverwalk restaurants,got a sweet tooth serves up hand crafted gelato along the chicago riverwalk in the warmer months choose from a rotating array of freshly made gelatos and sorbets like amaretto chai tea nutella panna cotta and more they also serve baked treats shakes and floats and coffee ,https://cdn.choosechicago.com/uploads/2018/07/RP_CITY_WINERY_29.jpg-900x601.jpg,,choosechicago
"Table, Donkey and Stick",": Tucked away in Logan Square, this hidden patio has cozy backyard vibes for enjoying wine and charcuterie.

Awarded a Michelin Bib Gourmand distinction, Logan Square’s  pays homage to the culinary traditions of the Alps. The warm, cozy ambiance at this tiny neighborhood eatery is the perfect setting to enjoy charcuterie, seasonal small plates, and European-inspired entrees.",couple,"romantic, outdooe"," tucked away in logan square this hidden patio has cozy backyard vibes for enjoying wine and charcuterie

awarded a michelin bib gourmand distinction logan square s pays homage to the culinary traditions of the alps the warm cozy ambiance at this tiny neighborhood eatery is the perfect setting to enjoy charcuterie seasonal small plates and european inspired entrees  ",,,choosechicago
Tabu,": This pan-Latin restaurant opens its spacious rooftop in the summer, with a seasonal cocktail menu and even some special menu items specifically for the rooftop.",couple,outdoor dining, this pan latin restaurant opens its spacious rooftop in the summer with a seasonal cocktail menu and even some special menu items specifically for the rooftop ,https://cdn.choosechicago.com/uploads/2022/05/Siena-Tavern-900x600.jpg,,choosechicago
Taureaux Tavern,"brings a dose of Parisian chic to the bustling downtown Loop. Their spacious all-season patio, complete with charming string lights and an inviting atmosphere, is the perfect setting to enjoy the French-inspired menu. Enjoy an array of classic and modern dishes, plus plenty of cocktails and bubbles.",couple,outdoor dining,brings a dose of parisian chic to the bustling downtown loop their spacious all season patio complete with charming string lights and an inviting atmosphere is the perfect setting to enjoy the french inspired menu enjoy an array of classic and modern dishes plus plenty of cocktails and bubbles ,https://cdn.choosechicago.com/uploads/2022/11/Taureaux-Patio-2-900x600.png,,choosechicago
The Bean,"You can’t come to Chicago and not visit , one of the city’s most famous icons. Unveiled in 2005, this is famed artist Anish Kapoor’s first outdoor public sculpture in the United States, and one of the largest sculptures of its kind in the world. See yourself and the city skyline reflected on Cloud Gate’s shiny surfaces and snap the ultimate Chicago photo opp.",couple,MillenniumPark,you can t come to chicago and not visit one of the city s most famous icons unveiled in  this is famed artist anish kapoor s first outdoor public sculpture in the united states and one of the largest sculptures of its kind in the world see yourself and the city skyline reflected on cloud gate s shiny surfaces and snap the ultimate chicago photo opp ,https://cdn.choosechicago.com/uploads/2020/03/sawyer-bengtson-tnv84LOjes4-unsplash-900x600.jpg,,choosechicago
The Bellevue,: This lively sidewalk patio is the perfect spot for people watching in the bustling Gold Coast neighborhood.,couple,outdoor dining, this lively sidewalk patio is the perfect spot for people watching in the bustling gold coast neighborhood ,,,choosechicago
The Boeing Galleries,"comprise two paved outdoor spaces located on the mid-level terraces. Designed for public exhibitions and furnished with seating for park visitors, these free, open-air galleries are home to modern and contemporary art installations that rotate throughout the year.",couple,MillenniumPark,comprise two paved outdoor spaces located on the mid level terraces designed for public exhibitions and furnished with seating for park visitors these free open air galleries are home to modern and contemporary art installations that rotate throughout the year ,,,choosechicago
The Dandy Crown,: This funky West Town spot is known for their cocktails and laidback neighborhood-bar vibes.,couple,outdoor dining, this funky west town spot is known for their cocktails and laidback neighborhood bar vibes ,,,choosechicago
The Dawson,"In trendy West Town, locals flock to this rustic outdoor patio with its own bar, oversized fireplace, and French doors that lead into ‘s beautiful interior. It’s the perfect spot to soak in the hustle and bustle of the neighborhood while enjoying globally-inspired American cuisine.

In River West,  plays off the neighborhood’s history with an industrial vibe made upscale. The menu of globally inspired American cuisine showcases the finest ingredients of the season, from fresh seafood to colorful veggies. It’s the perfect date night out, whether you’re on the cozy patio with an outdoor fireplace or in the candlelit dining room.",couple,romantic and outdoor,"in trendy west town locals flock to this rustic outdoor patio with its own bar oversized fireplace and french doors that lead into ‘s beautiful interior it s the perfect spot to soak in the hustle and bustle of the neighborhood while enjoying globally inspired american cuisine 

in river west plays off the neighborhood s history with an industrial vibe made upscale the menu of globally inspired american cuisine showcases the finest ingredients of the season from fresh seafood to colorful veggies it s the perfect date night out whether you re on the cozy patio with an outdoor fireplace or in the candlelit dining room ",https://cdn.choosechicago.com/uploads/2019/06/062-The-Dawson_Tahlier-900x600.jpg,,choosechicago
The Dock at Montrose Beach,"A favorite for waterfront dining on the north side is . After playing in the waves, strolling in the gardens, or letting your pup splash around at Montrose Beach, you can continue enjoying Lake Michigan from The Dock’s large open patio. The food is simple and fresh, the scenery is spectacular, and you can even catch live bands on weekends.",couple,waterfront restaurants,a favorite for waterfront dining on the north side is after playing in the waves strolling in the gardens or letting your pup splash around at montrose beach you can continue enjoying lake michigan from the dock s large open patio the food is simple and fresh the scenery is spectacular and you can even catch live bands on weekends ,https://cdn.choosechicago.com/uploads/2019/06/AA_MontroseBeach_07-900x600.jpg,,choosechicago
The Duck Inn,"This neighborhood gastro-tavern in Bridgeport is housed in a pre-Prohibition era tavern with a retro aesthetic inside and a cozy patio outside. In the summer, you’ll find  patio packed with locals for backyard pizza nights and Sunday brunches. Don’t miss their signature dishes, like the whole rotisserie duck or the Duck Inn Dog, a tribute to a classic Chicago-style hot dog.",couple,outdoor dining,this neighborhood gastro tavern in bridgeport is housed in a pre prohibition era tavern with a retro aesthetic inside and a cozy patio outside in the summer you ll find patio packed with locals for backyard pizza nights and sunday brunches don t miss their signature dishes like the whole rotisserie duck or the duck inn dog a tribute to a classic chicago style hot dog ,https://cdn.choosechicago.com/uploads/2019/06/IMG_1622-900x600.jpg,,choosechicago
